Brnd_Name,Gnrc_Name,HCPCS_Cd,HCPCS_Desc,Year,Tot_Benes,Tot_Clms,Tot_Spndng,Avg_Spnd_Per_Bene,Avg_Spnd_Per_Clm,Year_Value
GLASSIA,ALPHA-1-PROTEINASE INHIBITOR,J0257,GLASSIA INJECTION,2026 (Q1),228.0,1989,6236775.41,27354.278114,3135.6336903,2026
AMIKACIN SULFATE,AMIKACIN SULFATE,J0278,AMIKACIN SULFATE INJECTION,2025 (Q1-Q4),1644.0,4100,16958.67,10.315492701,4.1362609756,2025
AMIKACIN SULFATE,AMIKACIN SULFATE,J0278,AMIKACIN SULFATE INJECTION,2026 (Q1),411.0,865,4211.55,10.247080292,4.8688439306,2026
AMINOPHYLLINE,AMINOPHYLLINE,J0280,AMINOPHYLLIN 250 MG INJ,2025 (Q1-Q4),36018.0,36207,342177.63,9.5001840746,9.4505932554,2025
AMINOPHYLLINE,AMINOPHYLLINE,J0280,AMINOPHYLLIN 250 MG INJ,2026 (Q1),8669.0,8705,101175.7,11.670977045,11.622711086,2026
AMIODARONE HCL,AMIODARONE HCL,J0282,AMIODARONE HCL,2025 (Q1-Q4),34.0,38,1417.28,41.684705882,37.296842105,2025
AMPHOTERICIN B,AMPHOTERICIN B,J0285,AMPHOTERICIN B,2025 (Q1-Q4),54.0,118,14837.35,274.76574074,125.74025424,2025
AMPHOTERICIN B,AMPHOTERICIN B,J0285,AMPHOTERICIN B,2026 (Q1),600.5,21,1056.74,605.10741214,50.320952381,2026
ABELCET,AMPHOTERICIN B LIPID COMPLEX,J0287,AMPHOTERICIN B LIPID COMPLEX,2025 (Q1-Q4),29.0,101,5968.77,205.81965517,59.096732673,2025
AMBISOME*,AMPHOTERICIN B LIPOSOME*,J0289,AMPHOTERICIN B LIPOSOME INJ,2025 (Q1-Q4),182.0,1005,1773924.41,9746.8374176,1765.0989154,2025
AMBISOME*,AMPHOTERICIN B LIPOSOME*,J0289,AMPHOTERICIN B LIPOSOME INJ,2026 (Q1),53.0,240,311802.36,5883.0633962,1299.1765,2026
